,TICKET_CARRIER,ORIGIN_AIRPORT_ID,DEST_AIRPORT_ID,avg_price_0,avg_price_1,avg_price_2,avg_price_3,tot_passengers_0,tot_passengers_1,tot_passengers_2,tot_passengers_3,avg_dist_0,avg_dist_1,avg_dist_2,avg_dist_3,Airline.nane_0,tot_passengers_sqr_0,tot_passengers_sqr_1,tot_passengers_sqr_2,tot_passengers_sqr_3,QUARTER_0,avg_dist_sqr_0,avg_dist_sqr_1,avg_dist_sqr_2,avg_dist_sqr_3,AIRLINE_ID_0,Period_0,ID_0
70,AA,10140,14100,321.510941176471,351.752173913043,303.810576923077,324.072087912088,99,73,114,105,1873.96470588235,1879.23188405797,1926.16346153846,1895.72527472527,American Airlines,9801.0,5329.0,12996.0,11025.0,1,3511743.71889273,3531512.47406007,3710105.68056583,3593774.31723222,4,1,57
71,AA,10140,14122,266.638,274.580277777778,300.206666666667,349.6884,56,36,12,28,1627.6,1629.63888888889,1646.83333333333,1642.12,American Airlines,3136.0,1296.0,144.0,784.0,1,2649081.76,2655722.90817901,2712060.02777778,2696558.0944,4,1,58
72,AA,10140,14492,262.099722222222,276.70488372093,284.002608695652,284.547384615385,96,49,46,70,1643.47222222222,1636.23255813953,1643.60869565217,1690.44615384615,American Airlines,9216.0,2401.0,2116.0,4900.0,1,2701000.94521605,2677256.98431585,2701449.54442344,2857608.19905325,4,1,59
73,AA,10140,14524,200.860697674419,227.377333333333,307.889310344828,276.415,48,34,34,26,1729.3023255814,1739.6,1750.65517241379,1767.125,American Airlines,2304.0,1156.0,1156.0,676.0,1,2990486.53326122,3026208.16,3064793.53269917,3122730.765625,4,1,60
74,AA,10140,14635,275.378490566038,247.56625,318.343611111111,293.077666666667,69,43,41,32,1586.0,1586.0,1586.0,1586.0,American Airlines,4761.0,1849.0,1681.0,1024.0,1,2515396.0,2515396.0,2515396.0,2515396.0,4,1,61
75,AA,10140,14683,225.856712328767,250.857808219178,275.471688311688,288.459032258064,86,105,114,93,816.0,816.0,816.0,816.0,American Airlines,7396.0,11025.0,12996.0,8649.0,1,665856.0,665856.0,665856.0,665856.0,4,1,62
76,AA,10140,14730,330.010769230769,331.135714285714,313.4655,267.136363636364,13,14,21,11,1302.0,1309.35714285714,1307.1,1302.0,American Airlines,169.0,196.0,441.0,121.0,1,1695204.0,1714416.12755102,1708510.41,1695204.0,4,1,63
77,AA,10140,14747,296.201428571429,189.286,210.071363636364,261.923333333333,7,5,24,25,2115.57142857143,1474.2,1471.09090909091,1582.83333333333,American Airlines,49.0,25.0,576.0,625.0,1,4475642.46938775,2173265.64,2164108.46280992,2505361.36111111,4,1,64
78,AA,10140,14771,220.441428571429,263.826666666667,213.379285714286,229.971904761905,7,3,75,58,999.0,990.666666666667,1001.0,1006.5,American Airlines,49.0,9.0,5625.0,3364.0,1,998001.0,981420.444444444,1002001.0,1013042.25,4,1,65
79,AA,10140,14843,373.603333333333,306.186724137931,287.85625,261.953076923077,37,61,53,61,2734.05555555556,2734.05172413793,2734.02083333333,2753.25,American Airlines,1369.0,3721.0,2809.0,3721.0,1,7475059.7808642,7475038.83026159,7474869.91710069,7580385.5625,4,1,66
81,AA,10140,15016,202.5114,230.55196969697,260.160666666667,249.250217391304,147,76,67,53,1155.74,1134.57575757576,1131.13333333333,1119.0,American Airlines,21609.0,5776.0,4489.0,2809.0,1,1335734.9476,1287262.1496786,1279462.61777778,1252161.0,4,1,68
82,AA,10140,15304,266.779793814433,270.339384615385,272.034464285714,272.413424657534,144,73,60,87,1498.0,1513.81538461538,1516.10714285714,1529.39726027397,American Airlines,20736.0,5329.0,3600.0,7569.0,1,2244004.0,2291637.01869822,2298580.86862245,2339055.97973353,4,1,69
83,AA,10140,15370,241.866060606061,213.694,283.814285714286,284.347916666667,36,27,36,29,806.0,806.0,806.0,806.0,American Airlines,1296.0,729.0,1296.0,841.0,1,649636.0,649636.0,649636.0,649636.0,4,1,70
84,AA,10140,15412,266.698611111111,256.693111111111,316.757575757576,343.087619047619,39,47,39,21,1341.0,1346.6,1360.72727272727,1340.0,American Airlines,1521.0,2209.0,1521.0,441.0,1,1798281.0,1813331.56,1851578.7107438,1795600.0,4,1,71
90,AA,10208,11298,518.25,276.5,222.494655172414,220.828913043478,2,10,65,49,1076.0,1076.0,1078.68965517241,1076.0,American Airlines,4.0,100.0,4225.0,2401.0,1,1157776.0,1157776.0,1163571.37217598,1157776.0,4,1,89
107,AA,10257,10397,483.26,253.711111111111,217.509253731343,233.388928571429,1,9,77,87,872.0,874.0,872.373134328358,873.321428571429,American Airlines,1.0,81.0,5929.0,7569.0,1,760384.0,763876.0,761034.885497884,762690.317602041,4,1,107
115,AA,10257,11298,332.078571428571,385.713076923077,270.4898,271.821971830986,7,26,163,155,1551.85714285714,1532.46153846154,1565.67333333333,1558.11267605634,American Airlines,49.0,676.0,26569.0,24025.0,1,2408260.59183673,2348438.36686391,2451332.98671111,2427715.11128744,4,1,115
124,AA,10257,13303,259.73,385.476666666667,216.139183673469,224.29987654321,1,3,54,82,1225.0,1252.66666666667,1277.16326530612,1274.16049382716,American Airlines,1.0,9.0,2916.0,6724.0,1,1500625.0,1569173.77777778,1631146.0062474,1623484.96402987,4,1,124
127,AA,10257,13930,310.955,226.356153846154,263.944444444444,269.146,2,13,18,22,910.0,1063.07692307692,1148.61111111111,970.05,American Airlines,4.0,169.0,324.0,484.0,1,828100.0,1130132.5443787,1319307.4845679,940997.0025,4,1,127
